TargetVocabularyKanji,TargetVocabularyKana,TargetVocabulary,Correct01,Correct02,Correct03,Correct04,Correct05,Correct06,Correct07
フィンランド,フィンランド,Finland,Finland,finland,,,,,
ロシア,ロシア,Russia,Russia,russia,,,,,
中国,ちゅうごく,China,China,china,,,,,
韓国,かんこく,Korea,Korea,korea,,,,,
アメリカ,アメリカ,America,America,america,,,,,
ブラジル,ブラジル,Brazil,Brazil,brazil,,,,,
日本,にほん,Japan,Japan,japan,,,,,
オーストラリア,オーストラリア,Australia,Australia,australia,,,,,
インド,インド,India,India,india,,,,,
ケニア,ケニア,Kenya,Kenya,kenya,,,,,
フランス,フランス,France,France,france,,,,,
スペイン,スペイン,Spain,Spain,spain,,,,,
