TargetVocabularyKanji,TargetVocabularyKana,TargetVocabulary,Correct01,Correct02,Correct03,Correct04,Correct05,Correct06,Correct07,Audio
月曜日,げつようび,Monday,Monday,monday,,,,,,monday01.m4a
火曜日,かようび,Tuesday,Tuesday,tuesday,,,,,,tuesday01.m4a
水曜日,すいようび,Wednesday,Wednesday,wednesday,,,,,,wednesday01.m4a
木曜日,もくようび,Thursday,Thursday,thursday,,,,,,thursday01.m4a
金曜日,きんようび,Friday,Friday,friday,,,,,,friday01.m4a
土曜日,どようび,Saturday,Saturday,saturday,,,,,,saturday01.m4a
日曜日,にちようび,Sunday,Sunday,sunday,,,,,,sunday01.m4a
1月,いちがつ,January,January,january,,,,,,january01.m4a
2月,にがつ,February,February,february,,,,,,february01.m4a
3月,さんがつ,March,March,march,,,,,,march01.m4a
4月,しがつ,April,April,april,,,,,,april01.m4a
5月,ごがつ,May,May,may,,,,,,may01.m4a
6月,ろくがつ,June,June,june,,,,,,june01.m4a
7月,しちがつ,July,July,july,,,,,,july01.m4a
8月,はちがつ,August,August,august,,,,,,august01.m4a
9月,くがつ,September,September,september,,,,,,september01.m4a
10月,じゅうがつ,October,October,october,,,,,,october01.m4a
11月,じゅういちがつ,November,November,november,,,,,,november01.m4a
12月,じゅうにがつ,December,December,december,,,,,,december01.m4a
