TargetVocabularyKanji,TargetVocabularyKana,TargetVocabulary,Correct01,Correct02,Correct03,Correct04,Correct05,Correct06,Correct07
月曜日,げつようび,Monday,Monday,monday,,,,,
火曜日,かようび,Tuesday,Tuesday,tuesday,,,,,
水曜日,すいようび,Wednesday,Wednesday,wednesday,,,,,
木曜日,もくようび,Thursday,Thursday,thursday,,,,,
金曜日,きんようび,Friday,Friday,friday,,,,,
土曜日,どようび,Saturday,Saturday,saturday,,,,,
日曜日,にちようび,Sunday,Sunday,sunday,,,,,
1月,いちがつ,January,January,january,,,,,
2月,にがつ,February,February,february,,,,,
3月,さんがつ,March,March,march,,,,,
4月,しがつ,April,April,april,,,,,
5月,ごがつ,May,May,may,,,,,
6月,ろくがつ,June,June,june,,,,,
7月,しちがつ,July,July,july,,,,,
8月,はちがつ,August,August,august,,,,,
9月,くがつ,September,September,september,,,,,
10月,じゅうがつ,October,October,october,,,,,
11月,じゅういちがつ,November,November,november,,,,,
12月,じゅうにがつ,December,December,december,,,,,
