TargetVocabularyKanji,TargetVocabularyKana,TargetVocabulary,Correct01,Correct02,Correct03,Correct04,Correct05,Correct06,Correct07
りんご,りんご,apples,apples,Apples,,,,,
いちご,いちご,strawberries,strawberries,Strawberries,,,,,
レモン,れもん,lemons,lemons,Lemons,,,,,
バナナ,ばなな,bananas,bananas,Bananas,,,,,
サクランボ,さくらんぼ,cherries,cherries,Cherries,,,,,
パイン,ぱいん,pineapples,pineapples,Pineapples,,,,,
桃,もも,peaches,peaches,Peaches,,,,,
ぶどう,ぶどう,grapes,grapes,Grapes,,,,,
キウィ,きうぃ,kiwis,kiwis,Kiwis,,,,,
メロン,めろん,melons,melons,Melons,,,,,
アイス,あいす,ice cream,ice cream,Ice cream,ice Cream,Ice Cream,,,
牛乳,ぎゅうにゅう,milk,milk,Milk,,,,,
ジュース,じゅーす,juice,juice,Juice,,,,,
パン,ぱん,bread,bread,Bread,,,,,
オムレツ,おむれつ,omelet,omelet,Omelet,,,,,
チキン,ちきん,chicken,chicken,Chicken,,,,,
ピザ,ぴざ,pizza,pizza,Pizza,,,,,
ごはん,ごはん,rice,rice,Rice,,,,,
プディング,ぷでぃんぐ,pudding,pudding,Pudding,,,,,
サラダ,さらだ,salad,salad,Salad,,,,,
サンドウィッチ,さんどうぃっち,sandwich,sandwich,Sandwich,,,,,
パフェ,ぱふぇ,parfait,parfait,Parfait,,,,,
ケーキ,けーき,cake,cake,Cake,,,,,
ハンバーガー,はんばーがー,hamburger,hamburger,Hamburger,,,,,
ホットドッグ,ほっとどっぐ,hot dog,hot dog,Hot Dog,hot Dog,Hot dog,,,
フライドポテト,ふらいどぽてと,french fries,french fries,French Fries,French fries,french Fries,,,
パスタ,ぱすた,pasta,pasta,Pasta,,,,,
カレーライス,かれーらいす,curry rice,curry rice,Curry Rice,curry Rice,Curry rice,,,
みそ汁,みそしる,miso soup,miso soup,Miso Soup,miso Soup,Miso soup,,,
お茶,おちゃ,green tea,green tea,Green Tea,green Tea,Green tea,,,
納豆,なっと,natto,natto,Natto,,,,,
寿司,すし,sushi,sushi,Sushi,,,,,
