TargetVocabularyKanji,TargetVocabularyKana,TargetVocabulary,Correct01,Correct02,Correct03,Correct04,Correct05,Correct06,Correct07
ゼロ,ゼロ,0,0,Zero,zero,,,,
一,いち,1,1,One,one,Won,won,,
二,に,2,2,Two,two,too,Too,To,to
三,さん,3,3,Three,three,,,,
四,よん,4,4,Four,four,For,for,,
五,ご,5,5,Five,five,,,,
六,ろく,6,6,Six,six,,,,
七,なな,7,7,Seven,seven,,,,
八,はち,8,8,Eight,eight,Ate,ate,,
九,きゅう,9,9,Nine,nine,,,,
十,じゅう,10,10,Ten,ten,,,,
十一,じゅういち,11,11,Eleven,eleven,,,,
十二,じゅうに,12,12,Twelve,twelve,,,,
十三,じゅうさん,13,13,Thirteen,thirteen,,,,
十四,じゅうよん,14,14,Fourteen,fourteen,,,,
十五,じゅうご,15,15,Fifteen,fifteen,,,,
十六,じゅうろく,16,16,Sixteen,sixteen,,,,
十七,じゅうしち,17,17,Seventeen,seventeen,,,,
十八,じゅうはち,18,18,Eighteen,eighteen,,,,
十九,じゅうく,19,19,Ninteen,nineteen,,,,
二十,にじゅう,20,20,Twenty,twenty,,,,
三十,さんじゅう,30,30,Thirty,thirty,,,,
四十,よんじゅう,40,40,Forty,forty,,,,
五十,ごじゅう,50,50,Fifty,fifty,,,,
六十,ろくじゅう,60,60,Sixty,sixty,,,,
七十,ななじゅう,70,70,Seventy,seventy,,,,
八十,はちじゅう,80,80,Eighty,eighty,,,,
九十,くじゅう,90,90,Ninety,ninety,,,,
百,ひゃく,100,100,One Hundred,One hundred,one Hundred,one hundred,,
