TargetVocabularyKanji,TargetVocabularyKana,TargetVocabulary,Correct01,Correct02,Correct03,Correct04,Correct05,Correct06,Correct07
公園,こうえん,park,park,Park,,,,,
学校,がっこう,school,school,School,,,,,
花屋さん,はなやさん,flower shop,flower shop,Flower Shop,flower Shop,Flower shop,,,
病院,びょういん,hospital,hospital,Hospital,,,,,
本屋さん,ほんやさん,bookstore,bookstore,Bookstore,,,,,
レストラン,れすとらん,restaurant,restaurant,Restaurant,,,,,
スーパー,すーぱー,supermarket,supermarket,Supermarket,super market,Super market,super Market,Super Market,
消防署,しょうぼうしょ,fire station,fire station,Fire Station,fire Station,Fire station,,,
警察署,けいさつしょ,police station,police station,Police Station,police Station,Police station,,,
コンビニ,こんびに,convenience store,convenience store,Convenience Store,convenience Store,Convenience store,,,
デパート,でぱーと,department store,department store,Department Store,department Store,Department store,,,
郵便局,ゆうびんきょく,post office,post office,Post Office,post Office,Post office,,,
駅,えき,train station,train station,Train Station,train Station,Train station,,,
モール,もーる,mall,mall,Mall,,,,,
