TargetVocabularyKanji,TargetVocabularyKana,TargetVocabulary,Correct01,Correct02,Correct03,Correct04,Correct05,Correct06,Correct07
先生,せんせい,teacher,Teacher,teacher,,,,,
歌手,かしゅ,singer,Singer,singer,,,,,
医者,いしゃ,doctor,Doctor,doctor,,,,,
コックさん,こっくさん,cook,Cook,cook,,,,,
フライト・アテンダント,ふらいと・あてんだんと,flight attendant,Flight Attendant,flight attendant,Flight attendant,flight Attendant,,,
農家,のうか,farmer,Farmer,farmer,,,,,
獣医,じゅうい,veterinarian,Veterinarian,veterinarian,,,,,
絵描き,えかき,artist,Artist,artist,,,,,
飼育員,しいいくいん,zookeeper,Zookeeper,zookeeper,,,,,
パン屋さん,ぱんやさん,baker,Baker,baker,,,,,
歯医者,はいしゃ,dentist,Dentist,dentist,,,,,
消防士,しょうぼうし,firefighter,Firefighter,firefighter,,,,,
サッカー選手,さっかーせんしゅ,soccer player,Soccer Player,soccer player,Soccer player,soccer Player,,,
運転手,うんてんしゅ,bus driver,Bus Driver,bus driver,Bus driver,bus Driver,,,
