TargetVocabularyKanji,TargetVocabularyKana,TargetVocabulary,Correct01,Correct02,Correct03,Correct04,Correct05,Correct06,Correct07
１時,いちじ,one o'clock,one o'clock,1 o'clock,One o'clock,,,,
２時,にじ,two o'clock,two o'clock,2 o'clock,Two o'clock,,,,
３時,さんじ,three o'clock,three o'clock,3 o'clock,Three o'clock,,,,
４時,よじ,four o'clock,four o'clock,4 o'clock,Four o'clock,,,,
５時,ごじ,five o'clock,five o'clock,5 o'clock,Five o'clock,,,,
６時,ろくじ,six o'clock,six o'clock,6 o'clock,Six o'clock,,,,
７時,しちじ,seven o'clock,seven o'clock,7 o'clock,Seven o'clock,,,,
８時,はちじ,eight o'clock,eight o'clock,8 o'clock,Eight o'clock,,,,
９時,くじ,nine o'clock,nine o'clock,9 o'clock,Nine o'clock,,,,
１０時,じゅうじ,ten o'clock,ten o'clock,10 o'clock,Ten o'clock,,,,
１１時,じゅういちじ,eleven o'clock,eleven o'clock,11 o'clock,Eleven o'clock,,,,
１２時,じゅうにじ,twelve o'clock,twelve o'clock,12 o'clock,Twelve o'clock,,,,
